corte_denue,id,clee,nom_estab,raz_social,clave_norm,codigo_act,nombre_act,per_ocu,estrato_min,cod_postal,cve_ent,entidad,cve_mun,municipio,localidad,nomb_asent,nom_vial,numero_ext,dominio_correo,www,latitud,longitud,fecha_alta,sitios_nacionales,piso_aplicado,motivo_ingreso,es_punto_venta,excluido_por
2026-05,11335687,19026311613000135000000000U2,FLAMING CHICKEN,FLAMING CHICKEN,FLAMING CHICKEN,311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles",51 a 100 personas,51,67130,19,Nuevo León,026,Guadalupe,Guadalupe,LINDA VISTA,PADRE SEVERIANO MARTINEZ,4317,,WWW.POLLOMATON.COM,25.68981704,-100.25908344,2024-11,,101,pendiente_rescate,no,
2026-05,3006666,19026311940000013010000000U8,GRUPO CHI SO,GRUPO CHI SO,GRUPO CHI SO,311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación,31 a 50 personas,31,67170,19,Nuevo León,026,Guadalupe,Guadalupe,CERRO AZUL,ALMAGUER,204,chiso.com.mx,WWW.ELTORITOREGIO.COM,25.66455392,-100.17435638,2010-07,,101,pendiente_rescate,no,
2026-05,6421020,19026311520000333000008152S0,HELADOS SULTANA RINCON DE LINDA VISTA,HELADOS SULTANA DE MONTERREY,HELADOS SULTANA DE MONTERREY,311520,Elaboración de helados y paletas,101 a 250 personas,101,67112,19,Nuevo León,026,Guadalupe,Guadalupe,RINCÓN DE LINDA VISTA,CAMINO DE SAN PEDRO,1200,,,25.71445249,-100.20430015,2010-07,,51,piso_estrato,si,"cadena de puntos de venta: 10 sitios, 9 en ZM Monterrey, estrato identico 101, sin marca de planta, en colonia"
2026-05,6421021,19026311520000343000008152S9,HELADOS SULTANA AGUASCALIENTES,HELADOS SULTANA DE MONTERREY,HELADOS SULTANA DE MONTERREY,311520,Elaboración de helados y paletas,101 a 250 personas,101,67170,19,Nuevo León,026,Guadalupe,Guadalupe,VIVIENDA POPULAR,GENERAL LAZARO CARDENAS,1300,,,25.66842162,-100.23286753,2010-07,,51,piso_estrato,si,"cadena de puntos de venta: 10 sitios, 9 en ZM Monterrey, estrato identico 101, sin marca de planta, en colonia"
2026-05,6421023,19026311520000292000008152S8,HELADOS SULTANA ELIAS CALLES,HELADOS SULTANA DE MONTERREY,HELADOS SULTANA DE MONTERREY,311520,Elaboración de helados y paletas,101 a 250 personas,101,67160,19,Nuevo León,026,Guadalupe,Guadalupe,HACIENDA LOS LERMAS PRIMER SECTOR,GENERAL PLUTARCO ELIAS CALLES,2098,,,25.68703523,-100.19146629,2010-07,,51,piso_estrato,si,"cadena de puntos de venta: 10 sitios, 9 en ZM Monterrey, estrato identico 101, sin marca de planta, en colonia"
2026-05,6367834,19026312113000015001000000U6,HIELERIA MILLER,HIELERIA MILLER,HIELERIA MILLER,312113,Elaboración de hielo,51 a 100 personas,51,67190,19,Nuevo León,026,Guadalupe,Guadalupe,LOS LERMAS,CENTRAL,5401,,,25.67523659,-100.1917496,2010-07,,51,piso_estrato,no,
2026-05,6364997,19026311110000055003003066S9,MALTA TEXO DE MEXICO,MALTA TEXO DE MEXICO,MALTA TEXO DE MEXICO,311110,Elaboración de alimentos para animales,51 a 100 personas,51,67110,19,Nuevo León,026,Guadalupe,Guadalupe,INDUSTRIAL SAN RAFAEL,NUEVA,,amm.com,WWW.MALTALEYTON.COM.MX,25.70149127,-100.21704436,2010-07,,101,pendiente_rescate,no,
2026-05,6269706,19026311212000015000007426S7,PLANTA GUADALUPE,MOLINERA LA ESPIGA,MOLINERA LA ESPIGA,311212,Elaboración de harina de trigo,101 a 250 personas,101,67110,19,Nuevo León,026,Guadalupe,Guadalupe,JARDINES DE SAN RAFAEL,ADOLFO RUÍZ CORTINES,160,gtrimex.mx,WWW.GRUPOTRIMEX.COM.MX,25.70467564,-100.20777908,2010-07,,101,piso_estrato,no,
2026-05,6269322,19026311213000026000009046M2,MOLINOS AZTECA,MOLINOS AZTECA,MOLINOS AZTECA,311213,Elaboración de harina de maíz,251 y más personas,251,67129,19,Nuevo León,026,Guadalupe,Guadalupe,LA PURISIMA,ADOLFO RUÍZ CORTINES,2002,gruma.com,WWW.GRUMA.COM,25.70270227,-100.23289688,2010-07,,101,piso_estrato,no,
2026-05,6370008,19026311820000011010041781S6,MONDELEZ,MONDELEZ MEXICO,MONDELEZ MEXICO,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",251 y más personas,251,67160,19,Nuevo León,026,Guadalupe,Guadalupe,45,MIGUEL ALEMÁN,30,mdlz.com,WWW.MONDELEZ.COM,25.69706268,-100.23001892,2010-07,,101,piso_estrato,no,
2026-05,6786926,19026311930000044001000000U4,PICSA DE MEXICO INTERNACIONAL,PICSA DE MEXICO INTERNACIONAL,PICSA DE MEXICO INTERNACIONAL,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",101 a 250 personas,101,67115,19,Nuevo León,026,Guadalupe,Guadalupe,JARDINES DE GUADALUPE,DÍA DEL EMPRESARIO,1155,picsademexico.com.mx,WWW.PICSADEMEXICO.COM.MX,25.70517559,-100.17920551,2017-03,,101,piso_estrato,no,
2026-05,6793912,19026311110000075001040227M7,PRODUCTOS AGROINDUSTRIALES AZTECA,PRODUCTOS AGROINDUSTRIALES AZTECA,PRODUCTOS AGROINDUSTRIALES AZTECA,311110,Elaboración de alimentos para animales,101 a 250 personas,101,67110,19,Nuevo León,026,Guadalupe,Guadalupe,SAN RAFAEL,ADOLFO RUÍZ CORTINES,120,gruma.com,WWW.GRUMA.COM,25.70270209,-100.23288805,2017-03,,101,piso_estrato,no,
2026-05,6235843,19026431180000041011008215S7,PRODUCTOS DE LECHE SAN PABLO,PRODUCTOS DE LECHE SAN PABLO,PRODUCTOS DE LECHE SAN PABLO,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",31 a 50 personas,31,67110,19,Nuevo León,026,Guadalupe,Guadalupe,SAN RAFAEL,ADOLFO RUÍZ CORTINES,645,gloriadelinares.com.mx,WWW.GLORIASDELINARES.COM.MX,25.70376874,-100.2114324,2010-07,,101,pendiente_rescate,no,
2026-05,6365666,19026311910000176001008674M6,TOSTADAS MUSIQUERAS,PRODUCTOS DESHIDRATADOS PAGA,PRODUCTOS DESHIDRATADOS PAGA,311910,Elaboración de botanas,101 a 250 personas,101,67180,19,Nuevo León,026,Guadalupe,Guadalupe,VILLA DE SAN SEBASTIÁN,ARTURO B DE LA GARZA,125,musiqueras.com.mx,WWW.MUSIQUERAS.COM.MX,25.67261525,-100.20671747,2010-07,,101,piso_estrato,no,
2026-05,6371907,19026311222000017000000000U2,PROTEINAS NATURALES,PROTEINAS NATURALES,PROTEINAS NATURALES,311222,Elaboración de aceites y grasas vegetales comestibles,251 y más personas,251,67130,19,Nuevo León,026,Guadalupe,Guadalupe,NEXXUS GUADALUPE,VÍA TAMPICO,501,,WWW.RAGASA.COM,25.69435824,-100.15605824,2010-07,,101,piso_estrato,no,
2026-05,9337605,19026311611000045001000000U7,PROVEEDORA DE SERVICIOS CARNICOS DEL NORTE,PROVEDORA DE SERVICIOS CARNICOS DEL NORTE,PROVEDORA DE SERVICIOS CARNICOS DEL NORTE,311611,"Matanza de ganado, aves y otros animales comestibles",101 a 250 personas,101,67168,19,Nuevo León,026,Guadalupe,Guadalupe,HACIENDA LOS LERMAS,CAMINO A LAS ESCOBAS,104,gmail.com,,25.68287876,-100.18606441,2021-05,,101,piso_estrato,no,
